Algorithm,Value,Type
MLNS,9.645920273,Best
MLNS,10.78003165,Best
LA-HM,0,Average
LA-HM,0,Average
LA-HM,0,Average
LA-HM,0,Average
LA-HM,0,Average
LA-HM,0,Average
LA-HM,0.003664154,Average
LA-HM,0.021311025,Average
LA-HM,0,Average
LA-HM,0.001989568,Average
LA-HM,0,Average
LA-HM,0.007583002,Average
LA-HM,0.015994237,Average
LA-HM,0,Average
LA-HM,0.004203558,Average
LA-HM,0.010806442,Average
LA-HM,0.016406439,Average
LA-HM,0.017016514,Average
LA-HM,0.001587617,Average
LA-HM,0.022758003,Average
LA-HM,0.042875877,Average
LA-HM,0.067013993,Average
LA-HM,0.038676527,Average
LA-HM,0.042198052,Average
LA-HM,0.021337415,Average
LA-HM,0.103120914,Average
LA-HM,0.061425038,Average
LA-HM,0.031665871,Average
LA-HM,0.043621628,Average
LA-HM,0.049128083,Average
LA-HM,0.078575612,Average
LA-HM,0.100564694,Average
LA-HM,0.05210329,Average
LA-HM,0.091316594,Average
LA-HM,0.080107866,Average
LA-HM,0.086355514,Average
LA-HM,0.054801203,Average
LA-HM,0.080272378,Average
LA-HM,0.062858712,Average
LA-HM,0.160484308,Average
LA-HM,0.050913822,Average
LA-HM,0.088702394,Average
LA-HM,0.090584224,Average
LA-HM,0.068572236,Average
LA-HM,0.159911866,Average
LA-HM,0.107271419,Average
LA-HM,0.092470037,Average
LA-HM,0.111535901,Average
LA-HM,0.096149235,Average
LA-ITS,0,Average
LA-ITS,0,Average
LA-ITS,0,Average
LA-ITS,0,Average
LA-ITS,0,Average
LA-ITS,0.010286668,Average
LA-ITS,0.005548576,Average
LA-ITS,0.02215712,Average
LA-ITS,0.000534028,Average
LA-ITS,0.004409313,Average
LA-ITS,0,Average
LA-ITS,0.169227334,Average
LA-ITS,0.162472289,Average
LA-ITS,0.177673278,Average
LA-ITS,0.172876871,Average
LA-ITS,0.064929463,Average
LA-ITS,0.434421957,Average
LA-ITS,0.315342074,Average
LA-ITS,0.382893431,Average
LA-ITS,0.634580618,Average
LA-ITS,0.025246593,Average
LA-ITS,0.05883031,Average
LA-ITS,0.044959718,Average
LA-ITS,0.040556104,Average
LA-ITS,0.011848821,Average
LA-ITS,0.279517935,Average
LA-ITS,0.137806909,Average
LA-ITS,0.182856226,Average
LA-ITS,0.156469747,Average
LA-ITS,0.159650989,Average
LA-ITS,0.4797139,Average
LA-ITS,0.434061707,Average
LA-ITS,0.29075108,Average
LA-ITS,0.412087388,Average
LA-ITS,0.077434576,Average
LA-ITS,0.094482937,Average
LA-ITS,0.051752273,Average
LA-ITS,0.067773681,Average
LA-ITS,0.056863753,Average
LA-ITS,0.222450298,Average
LA-ITS,0.175846551,Average
LA-ITS,0.257269237,Average
LA-ITS,0.131925775,Average
LA-ITS,0.132633585,Average
LA-ITS,0.592380818,Average
LA-ITS,0.405745692,Average
LA-ITS,0.472660973,Average
LA-ITS,0.397079289,Average
LA-ITS,0.444252626,Average
MLNS,3.164670598,Average
MLNS,3.737672584,Average
MLNS,3.745326089,Average
MLNS,4.253432375,Average
MLNS,4.706852095,Average
MLNS,0.874949052,Average
MLNS,5.600136097,Average
MLNS,6.024251206,Average
MLNS,6.139402743,Average
MLNS,6.327257084,Average
MLNS,7.066368178,Average
MLNS,5.505049016,Average
MLNS,6.844632926,Average
MLNS,7.402122657,Average
MLNS,7.824857632,Average
MLNS,8.455586885,Average
MLNS,3.796383977,Average
MLNS,6.613866926,Average
MLNS,7.210676722,Average
MLNS,2.027832217,Average
MLNS,5.512674611,Average
MLNS,5.850457595,Average
MLNS,6.183357458,Average
MLNS,6.435847937,Average
MLNS,7.134683193,Average
MLNS,7.489568529,Average
MLNS,8.066891885,Average
MLNS,8.314921882,Average
MLNS,8.855428867,Average
MLNS,9.569543441,Average
MLNS,7.361597423,Average
MLNS,8.590293805,Average
MLNS,9.215924131,Average
MLNS,10.17695844,Average
MLNS,5.144513396,Average
MLNS,5.634851547,Average
MLNS,5.76589785,Average
MLNS,6.084806665,Average
MLNS,6.993806568,Average
MLNS,7.732015588,Average
MLNS,7.965555306,Average
MLNS,8.439688293,Average
MLNS,8.887067515,Average
MLNS,10.0068561,Average
MLNS,8.083935687,Average
MLNS,9.11051002,Average
MLNS,9.373031526,Average
MLNS,9.947982011,Average
MLNS,11.21712943,Average
